ïmedianearnings,meanearnings,emprate,laborpart,percentemploymentstatuscivilianl,dpark,dmarket,test,id,id2,geography,govworkers,bachelorsorhigher,mtraveltime,nonag,selfemp,financesectorinvest,oldagedepratio,meanhousingsize,occhealth2,popdensity,v22,v23,v24,estimatesexandagetotalpopulation,estimateemploymentstatuspopulati,v27,sqmiles,estimateinthelaborforceemployedw,v30,estimateinthelaborforcenoninst,v32,occhealth,latitude,longitude
30145,67590,94.7,63,5.3,26.29566,16.10452,.4906183,"1400000US23011015500",2.301e+10,"Census Tract 155, Kennebec County, Maine",19.9,33.5,31,95.9,7.7,4.4,31.4,2.425,.948,37.1085,"1400000US23011015500",2.301e+10,"Census Tract 155, Kennebec County, Maine",3251,2676,5.3,87.608,79,,1507,79,.052422,44.51057,-69.94698
33723,72703,90.9,60.5,9.1,25.75431,14.95078,.4472681,"1400000US23011016000",2.301e+10,"Census Tract 160, Kennebec County, Maine",25.9,32,25.9,95.9,10.3,2.8,26.3,2.415,.966,72.7961,"1400000US23011016000",2.301e+10,"Census Tract 160, Kennebec County, Maine",3148,2560,9.1,43.244,49,,1447,49,.0338632,44.52309,-69.83758
31163,67561,96.9,66.7,3.1,20.41304,8.892161,.5044875,"1400000US23011017000",2.301e+10,"Census Tract 170, Kennebec County, Maine",21.5,24.1,24.7,98.5,10.2,3.8,20.7,2.555,.971,100.2213,"1400000US23011017000",2.301e+10,"Census Tract 170, Kennebec County, Maine",4234,3347,3.1,42.247,60,,2045,60,.0293399,44.43825,-69.7557
30888,64003,92.2,70.7,7.8,15.11173,10.35065,.5161141,"1400000US23011018000",2.301e+10,"Census Tract 180, Kennebec County, Maine",19.9,21.3,28.9,98.2,8.6,1.9,19.2,2.74,.954,97.4335,"1400000US23011018000",2.301e+10,"Census Tract 180, Kennebec County, Maine",4313,3416,7.8,44.266,106,,2289,106,.0463084,44.42798,-69.64951
29632,57891,93.6,65.2,6.4,10.13204,10.24415,.4949059,"1400000US23011019000",2.301e+10,"Census Tract 190, Kennebec County, Maine",27.6,19.5,26.9,99.5,13.9,2.1,21.7,2.565,.942,73.65205,"1400000US23011019000",2.301e+10,"Census Tract 190, Kennebec County, Maine",2552,2069,6.4,34.649,72,,1248,72,.0576923,44.31667,-69.57303
30467,58119,92.2,65.5,7.8,9.385465,14.06365,.4840824,"1400000US23011020000",2.301e+10,"Census Tract 200, Kennebec County, Maine",21.6,20.9,29.2,99,7.6,4.3,18.1,2.46,.931,85.64651,"1400000US23011020000",2.301e+10,"Census Tract 200, Kennebec County, Maine",4272,3440,7.8,49.879,147,,2134,147,.0688847,44.41447,-69.53527
26435,58181,95.1,61.7,4.9,10.77859,23.2962,.4771242,"1400000US23011020500",2.301e+10,"Census Tract 205, Kennebec County, Maine",18.2,17.6,26.6,87.1,4.8,2.5,28.7,2.415,.946,40.39526,"1400000US23011020500",2.301e+10,"Census Tract 205, Kennebec County, Maine",1989,1617,4.9,49.238,51,,941,51,.0541977,44.54051,-69.43491
29139,51779,94.3,52.8,5.7,20.26753,27.04409,.4116949,"1400000US23011021000",2.301e+10,"Census Tract 210, Kennebec County, Maine",6.2,9.2,25,97.5,2.2,3.2,20.2,2.59,.962,76.78954,"1400000US23011021000",2.301e+10,"Census Tract 210, Kennebec County, Maine",3369,2784,5.7,43.873,53,,1395,53,.0379928,44.65979,-69.53168
30156,61782,95.3,58.6,4.7,15.78665,23.27451,.4728566,"1400000US23011022000",2.301e+10,"Census Tract 220, Kennebec County, Maine",10.1,12.1,21.4,79.4,10.1,.7,34.6,2.28,.923,94.00472,"1400000US23011022000",2.301e+10,"Census Tract 220, Kennebec County, Maine",2671,2268,4.7,28.413,95,,1229,95,.0772986,44.59082,-69.51794
31490,51610,97.4,60.3,2.6,16.56158,19.55724,.455683,"1400000US23011023001",2.301e+10,"Census Tract 230.01, Kennebec County, Maine",20.4,25.5,18.3,96.2,6.2,7.7,30.8,2.215,.931,789.5768,"1400000US23011023001",2.301e+10,"Census Tract 230.01, Kennebec County, Maine",3836,2977,2.6,4.858,120,,1728,120,.0694444,44.56041,-69.59317
